Buy Date,Symbol,Buy price,Sell Date,Sell Price ,Change 
23/12/2016,AMD,11.60,17/03/2017,13.49,16.29%
23/12/2016,BAC,22.54,17/03/2017,24.86,10.29%
23/12/2016,GS,240.12,17/03/2017,243.94,1.59%
23/12/2016,MS,42.79,17/03/2017,45.02,5.21%
23/12/2016,PRU,105.65,17/03/2017,109.92,4.04%
23/12/2016,MU,23.19,17/03/2017,25.8,11.25%
23/12/2016,JPM,86.89,17/03/2017,90.68,4.36%
23/12/2016,PWR,34.70,17/03/2017,37.26,7.38%
23/12/2016,PNC,117.43,17/03/2017,124.35,5.89%
23/12/2016,URI,106.86,17/03/2017,125.19,17.15%
23/12/2016,SCHW,39.77,17/03/2017,42.86,7.77%
23/12/2016,C,60.49,17/03/2017,60.37,-0.20%
23/12/2016,TFC,47.31,17/03/2017,46.83,-1.01%
23/12/2016,COHR,29.65,17/03/2017,35.15,18.55%
23/12/2016,BKR,65.61,17/03/2017,58.93,-10.18%
23/12/2016,CSX,12.23,17/03/2017,15.63,27.80%
23/12/2016,TMUS,58.08,17/03/2017,63.5,9.33%
23/12/2016,MFC,18.11,17/03/2017,21.5,18.72%
23/12/2016,COF,89.19,17/03/2017,88.23,-1.08%
23/12/2016,WDC,53.05,17/03/2017,58.1,9.52%
17/03/2017,SHOP,6.70,23/06/2017,9.45,41.04%
17/03/2017,CSX,15.63,23/06/2017,17.55,12.28%
17/03/2017,ANET,8.01,23/06/2017,10.1,26.09%
17/03/2017,IDXX,151.95,23/06/2017,167.35,10.13%
17/03/2017,MU,25.80,23/06/2017,31.73,22.98%
17/03/2017,AMAT,39.28,23/06/2017,44.09,12.25%
17/03/2017,XYZ,17.28,23/06/2017,24.17,39.87%
17/03/2017,RACE,68.43,23/06/2017,89.18,30.32%
17/03/2017,LRCX,12.65,23/06/2017,15.18,20.00%
17/03/2017,KLAC,94.69,23/06/2017,97.95,3.44%
17/03/2017,BA,180.10,23/06/2017,202.23,12.29%
17/03/2017,URI,125.19,23/06/2017,104.85,-16.25%
17/03/2017,AVGO,22.12,23/06/2017,24.53,10.90%
17/03/2017,CDNS,31.86,23/06/2017,34.26,7.53%
17/03/2017,STX,46.87,23/06/2017,42.67,-8.96%
17/03/2017,APO,22.99,23/06/2017,27.3,18.75%
17/03/2017,NTES,58.30,23/06/2017,66.71,14.43%
17/03/2017,ADI,83.26,23/06/2017,81.55,-2.05%
17/03/2017,ELV,168.27,23/06/2017,190.17,13.01%
17/03/2017,AMP,131.71,23/06/2017,125.55,-4.68%
23/06/2017,XYZ,24.17,22/09/2017,28.75,18.95%
23/06/2017,TSLA,25.56,22/09/2017,23.41,-8.41%
23/06/2017,BABA,143.01,22/09/2017,178.14,24.56%
23/06/2017,JD,42.95,22/09/2017,42.37,-1.35%
23/06/2017,RACE,89.18,22/09/2017,113.47,27.24%
23/06/2017,ANET,10.10,22/09/2017,11.94,18.22%
23/06/2017,ISRG,105.44,22/09/2017,114.61,8.70%
23/06/2017,ALNY,85.21,22/09/2017,113.8,33.55%
23/06/2017,TTWO,72.88,22/09/2017,102.84,41.11%
23/06/2017,ADSK,107.75,22/09/2017,111.78,3.74%
23/06/2017,EA,110.87,22/09/2017,118.5,6.88%
23/06/2017,VRTX,133.50,22/09/2017,151.26,13.30%
23/06/2017,LRCX,15.18,22/09/2017,17.67,16.40%
23/06/2017,MCD,154.64,22/09/2017,158.91,2.76%
23/06/2017,PYPL,54.33,22/09/2017,65.08,19.79%
23/06/2017,BA,202.23,22/09/2017,256.45,26.81%
23/06/2017,WDC,70.55,22/09/2017,65.37,-7.34%
23/06/2017,APO,27.30,22/09/2017,31.05,13.74%
23/06/2017,ELV,190.17,22/09/2017,182.86,-3.84%
23/06/2017,ADBE,145.41,22/09/2017,148.5,2.13%
22/09/2017,ONC,85.14,22/12/2017,100.32,17.83%
22/09/2017,SHOP,12.03,22/12/2017,10.39,-13.63%
22/09/2017,BABA,178.14,22/12/2017,176.29,-1.04%
22/09/2017,XYZ,28.75,22/12/2017,35.14,22.23%
22/09/2017,PYPL,65.08,22/12/2017,73.89,13.54%
22/09/2017,ABBV,87.48,22/12/2017,98.21,12.27%
22/09/2017,BIDU,240.57,22/12/2017,239.05,-0.63%
22/09/2017,ANET,11.94,22/12/2017,14.78,23.79%
22/09/2017,HEI,57.90,22/12/2017,59.98,3.59%
22/09/2017,ASML,165.96,22/12/2017,175.22,5.58%
22/09/2017,ALNY,113.80,22/12/2017,123.96,8.93%
22/09/2017,CAT,124.43,22/12/2017,155.75,25.17%
22/09/2017,APO,31.05,22/12/2017,34.01,9.53%
22/09/2017,MA,141.89,22/12/2017,150.85,6.31%
